open,high,low,close,volume
101.1657,101.3048,100.4772,100.7579,1729974
100.7489,100.805,100.3313,100.5592,316502
101.3302,102.0364,100.7903,101.5511,118687
103.6413,104.0,103.4264,103.9082,1536314
103.6838,104.546,102.3198,103.5542,1985665
102.7296,103.8381,102.6614,103.2015,850587
105.7492,106.5321,103.9957,105.6859,1559603
107.153,107.5888,105.587,106.9202,1299886
106.3482,106.9006,105.9839,106.1806,326345
105.6495,107.76,105.203,107.0589,277539
105.6872,107.1122,105.6449,106.3279,1981116
105.9193,106.3175,105.2197,105.5983,782678
105.9296,107.1086,105.4958,105.9928,1676935
102.7203,103.3884,102.1422,103.0045,1127274
100.3812,101.0445,99.9636,100.3836,880848
99.5092,99.5835,99.4935,99.5504,1376746
97.9709,98.9015,97.0086,98.0592,965333
98.0523,98.8937,97.3367,98.5324,793737
97.2759,97.7651,96.4636,97.2092,946240
94.4879,96.5475,93.7945,95.181,152957
96.2115,98.509,95.5835,97.3065,408221
97.3393,97.4559,96.8281,96.9872,281607
97.8031,98.1523,96.9795,97.0952,1160388
95.0314,95.1009,94.7959,95.0516,480108
93.7413,94.8654,93.5832,94.2881,193062
93.8984,95.5711,93.4154,94.4545,1869751
92.3613,93.0294,91.4554,92.8471,121558
93.4492,93.5717,92.7137,93.3811,1332778
93.6722,93.815,92.4915,92.5528,1281918
92.1532,92.2193,91.8263,92.158,794989
91.0714,91.9407,91.032,91.3391,1427787
94.3455,94.6323,93.0308,93.9218,608505
94.1534,94.2911,92.9265,93.9122,1232539
92.1405,92.8435,92.0982,92.4432,150684
93.8981,95.0805,93.0549,93.6002,592480
92.0579,92.2751,91.8064,91.9109,723098
91.7554,92.4331,91.5498,92.2086,798142
89.6112,89.7707,89.4407,89.5465,158538
88.0763,88.2233,86.9341,87.7889,1403402
89.1274,89.4562,86.985,88.0573,1331115
89.1148,89.1351,88.7986,89.0471,1029984
89.3337,89.44,89.2339,89.2852,1741203
88.092,89.3242,87.2338,89.1394,1219411
88.5476,88.8348,87.9755,88.7465,863973
86.7189,87.3839,86.2436,86.8087,247164
85.2643,85.9676,85.2335,85.885,1907389
85.3885,85.6098,84.8198,85.3021,1397526
86.3072,86.8196,86.1069,86.6742,1070444
86.6046,87.4497,86.561,87.1308,1767581
83.7955,85.1597,83.7668,84.8653,1345917
86.3163,86.4963,83.8741,85.2873,1349739
84.73,85.2367,84.5593,84.8046,1641757
83.6213,84.4069,82.9839,83.9563,268393
85.3975,85.4815,83.783,84.7386,891094
86.2131,86.8283,85.673,86.0679,920169
86.7475,87.5901,86.6756,87.2873,1965553
86.045,86.3575,85.66,86.204,231333
85.2215,86.9684,85.0525,85.8137,1103703
85.5062,86.5797,85.3934,86.2498,874663
88.1669,88.538,86.0394,87.5299,557683
86.7174,87.009,86.5986,86.9118,721366
86.673,86.8441,86.3115,86.6787,1982984
85.3177,85.8647,84.7509,85.2607,529583
83.7263,84.9466,83.3774,83.7529,575521
84.7018,85.714,83.6147,84.7884,1294559
85.4134,86.5759,85.3273,86.5396,669596
86.2351,86.6459,86.0166,86.4548,1346218
87.7706,88.0794,87.4323,87.7748,1081591
88.2214,88.4134,88.1645,88.2611,1376114
87.3735,87.6664,86.8045,87.4199,216227
87.4239,88.2139,87.3807,87.9038,1707438
90.1017,90.7679,89.4748,89.9644,1802247
90.4157,90.6357,89.8637,89.925,931555
91.7208,92.408,91.2026,92.0697,1175626
89.0615,89.1808,88.2296,88.5308,376304
89.5577,89.8605,89.0371,89.6379,1658536
90.1766,90.2357,88.8109,89.764,1079480
89.4232,90.1422,89.1378,89.3713,447751
89.7336,89.7603,89.3245,89.5033,164577
87.2773,87.6057,86.7706,86.883,137558
87.5117,87.8867,86.4154,86.6058,1784652
87.8619,87.9906,86.6749,87.0797,969152
88.2228,89.2355,86.979,89.0406,855733
89.1986,89.4675,87.5167,88.3599,336585
86.9557,87.7219,86.05,87.3035,1160043
86.5604,86.7793,86.233,86.6576,1505082
87.7514,88.5452,87.1147,87.8644,177322
88.367,89.2838,88.2108,88.3076,1765833
87.8575,88.1572,87.486,87.6174,445549
89.3276,89.3674,87.6002,88.3034,1201901
88.6772,88.7515,88.4023,88.441,1269511
90.2119,90.5621,89.1753,89.7443,614026
89.6025,90.5596,87.8764,88.8131,425909
88.2286,89.08,87.7744,88.3865,181544
87.5405,87.9569,87.4555,87.877,743790
85.6588,87.0773,85.248,85.9774,1096090
85.707,86.8339,85.6998,86.3688,638336
86.4425,86.928,85.441,86.7164,1177304
86.7295,87.0093,85.5218,86.7317,468978
86.1854,86.8389,85.945,86.4357,1811902
83.5417,85.5801,83.3356,84.6284,698289
83.7966,84.2396,83.5727,84.1045,991787
83.3529,85.0892,82.6366,83.6816,382489
82.5878,83.1344,82.1389,82.6889,1011204
82.3816,83.0637,82.1368,82.4973,1415248
82.9029,83.3699,82.6626,83.0072,1943072
85.7404,85.7823,85.329,85.3977,1466625
85.4206,85.7038,85.278,85.6302,1912870
85.8272,86.0231,85.1095,85.9703,1060385
86.3304,86.7853,85.5694,85.8829,613912
82.8987,83.9196,82.3786,83.4546,1995765
84.4282,84.674,83.325,83.4298,1379235
83.6567,83.9621,83.2079,83.5136,300699
85.7722,86.7275,85.7639,86.6656,197964
86.2463,86.619,86.2188,86.4246,429901
86.853,86.9108,86.677,86.8251,471906
86.8086,87.0972,86.5757,86.7886,1703336
85.0461,85.5849,84.6786,85.2889,205425
86.5599,87.295,86.4344,86.7723,808024
87.11,88.5537,86.8405,87.7653,106415
90.1217,90.6004,88.2336,88.8217,1504210
87.8793,87.9664,87.4568,87.6271,636883
89.2311,90.0001,88.2523,89.4994,1727784
87.5907,88.7731,87.0956,87.6459,1511666
88.5629,88.6275,87.6676,88.4297,1107493
91.061,91.4856,90.3565,91.3926,1575115
89.7972,90.3943,87.4581,90.0537,593774
89.2777,91.2459,89.2712,89.3009,1674004
88.9383,89.5623,88.4271,89.4435,409125
89.3978,89.596,88.0602,88.7794,1793700
86.3656,86.972,86.0557,86.7469,865660
87.0309,87.5648,85.6122,86.8448,1949261
85.7671,86.0655,85.1938,85.4805,550330
85.836,86.287,85.755,86.0985,819346
85.4329,85.6427,84.7105,84.9278,630033
86.8585,87.2648,86.807,86.9341,478617
86.4648,86.7476,85.7083,85.9273,1328076
86.7549,86.7759,84.4525,85.5217,959560
87.2419,87.2854,86.2492,86.5804,1891987
85.6689,85.8864,84.7978,85.005,1075961
85.3139,85.426,85.1851,85.3041,594619
87.3038,87.5258,86.8429,87.0018,1997397
84.8882,85.3555,83.637,84.9376,1168575
84.7944,85.744,84.7863,85.1817,1870712
85.1166,85.6777,85.0526,85.5229,685524
86.6015,87.3144,85.5452,86.5405,1746331
84.1836,85.7528,84.1733,84.9581,145085
83.3208,83.4002,82.5276,83.3002,213919
84.5228,85.127,83.943,83.9633,244030
83.3755,84.6119,82.9461,84.3466,1653803
84.499,84.6958,84.3712,84.6726,904360
85.441,85.7043,83.9401,85.1223,1530497
84.4853,84.5749,83.3439,84.2668,610274
84.2201,85.5221,84.0489,84.5694,517700
84.7418,85.0029,83.8272,84.9505,815121
84.1481,84.7633,83.3047,84.0535,748347
86.7067,87.2065,86.0007,86.4477,1030797
87.2464,87.5068,86.3263,87.073,1372473
85.5132,85.8833,85.407,85.5394,527090
86.8056,87.2324,86.3223,86.3947,1454132
85.3136,86.1664,84.9135,85.1493,417263
85.6954,86.2855,85.6338,86.1691,1422263
87.2408,87.8871,87.1649,87.6885,765267
86.4752,86.6951,86.4405,86.6243,633593
88.8727,89.6355,87.6546,87.894,1650464
88.0357,88.8033,87.9449,88.4487,1316820
90.1187,90.6436,89.4226,89.5551,831075
91.9516,92.2349,91.5467,92.1489,882820
92.5,92.5769,91.7766,91.8195,881418
91.0066,91.1691,90.7343,90.7963,954989
90.8496,90.8706,89.4143,89.6019,938654
87.3289,89.1653,87.2701,88.5209,306328
88.7186,88.8802,88.3338,88.4275,1477386
88.2013,89.1435,88.1756,88.89,1016711
89.5686,89.7408,89.1047,89.2686,1376710
90.3424,90.5372,90.2199,90.3922,1586156
90.4198,90.4752,90.3327,90.4189,303347
92.5169,92.8275,92.3777,92.4212,1505797
92.0678,93.1755,91.8581,92.0642,1590851
96.3252,96.766,95.1719,95.9079,1467115
97.7083,97.9214,95.6869,96.822,646756
95.2175,95.7659,95.0942,95.5946,554916
94.5377,94.6352,93.4047,94.0807,1614832
94.3532,95.2427,94.2082,94.7735,816005
94.7847,94.9414,94.3487,94.4658,1084969
97.6047,97.7187,94.9064,95.4925,1376687
95.8592,97.1651,95.6335,96.1824,1106551
96.1073,96.9197,95.4816,96.087,341884
94.5113,95.0611,94.2313,94.8837,1927508
92.8738,94.3322,91.9473,92.7613,1421357
92.5449,92.7678,91.8649,92.1513,1657193
93.4789,93.5506,93.3391,93.3521,471484
94.438,94.4689,93.4804,93.6617,393275
90.8151,91.9501,90.5567,91.937,629013
91.7395,92.4321,90.9156,92.1853,489748
92.8054,93.1486,92.5257,92.7289,1384496
91.6899,91.7163,91.3904,91.5168,1241444
90.8416,92.4935,90.8239,91.7373,1142113
92.7464,92.7753,90.1039,91.8266,1533191
90.1888,90.4964,89.9052,90.2747,1482573
90.7968,90.9814,90.4885,90.7696,1632204
91.4443,91.7023,91.2992,91.5455,1384198
93.3455,93.4183,92.925,93.0542,1081512
94.0902,94.5879,93.4516,94.5462,582467
92.4538,92.6222,92.1227,92.6217,1919652
91.6586,92.2114,90.637,91.337,726510
92.4389,93.1711,92.0199,92.0546,1752552
91.9014,93.895,91.7374,92.7761,1294161
93.2118,93.5124,91.9492,93.5049,1027515
98.3749,99.6237,97.8655,99.0778,882362
100.1075,100.1885,99.6522,99.9399,261645
101.8561,101.9943,101.6411,101.6669,560462
103.2259,103.6949,102.9691,103.1426,1352512
104.0966,104.2591,103.8586,104.1657,145433
104.1175,105.2717,102.016,103.6846,1431296
105.252,105.692,104.1918,104.8823,1892677
104.1586,104.4274,102.9142,103.6838,1764135
103.6871,105.5918,103.3249,103.3265,1117711
103.5045,103.5617,102.5372,102.5872,787082
102.3299,103.1519,101.7566,102.7236,1627971
107.1534,107.4833,105.1189,106.3634,1601034
103.3176,103.6002,103.2377,103.4359,535614
103.9178,106.2403,103.8484,104.5166,1836393
102.1035,102.3801,101.7318,102.0288,1833552
101.6506,102.3524,101.3132,101.3193,1562952
103.7456,103.7601,102.8298,102.9981,1608329
102.6567,103.6544,102.5403,103.1078,1657639
101.2311,101.5349,101.216,101.4645,1693501
99.9656,100.8196,99.9254,100.3917,221229
101.0018,102.0952,100.699,101.4304,1747404
100.7473,101.1022,100.2589,100.3353,130434
100.6425,101.6362,99.6265,100.6717,1534989
100.6238,101.471,100.1675,100.7506,891853
97.5319,100.6619,97.2268,99.7806,979554
103.0268,104.2806,102.6443,103.052,1953788
104.0438,104.1688,104.0156,104.0469,1147311
101.6154,101.8819,100.834,100.9439,1128489
101.0006,101.3865,99.633,101.2368,1821667
101.0823,101.4544,99.7857,100.2468,619091
102.1949,102.2293,101.1161,101.547,1113809
101.401,101.7104,99.0377,100.357,1227747
100.3055,100.7124,99.9022,100.1944,642209
100.8968,101.3529,100.5733,100.9664,801258
102.6286,102.7183,101.653,102.2963,609390
101.028,101.7848,99.8381,100.4811,1962730
99.0901,100.404,98.5418,99.9882,888214
99.4443,100.3467,98.2749,99.2883,905364
98.8173,98.8266,97.6423,98.3299,1969526
101.5097,101.6242,100.8632,100.9787,270725
101.3097,101.6091,101.1925,101.6041,892305
100.1346,100.1557,99.7062,99.7105,274045
101.8748,101.9072,100.1587,101.1029,1904475
104.4827,104.8244,104.38,104.3835,129617
106.5591,106.675,105.5649,106.0232,1957664
103.5986,103.6853,102.9426,103.6446,1217676
102.46,104.0176,102.3955,102.9048,1177612
